"product_id","size","color","picture","price","id"
2,10,"Gray","Coming Soon","199.60",1
11,12,"Red","Coming Soon","155.65",2
2,11,"Red","Coming Soon","128.87",3
11,11,"Green","Coming Soon","117.52",4
5,8,"Black","Coming Soon","165.39",5
7,11,"Brown","Coming Soon","168.15",6
5,8,"Gray","Coming Soon","139.48",7
5,11,"Blue","Coming Soon","100.14",8
4,10,"Brown","Coming Soon","117.66",9
8,10,"Brown","Coming Soon","193.53",10
7,8,"Light Brown","Coming Soon","154.62",11
12,10,"Green","Coming Soon","188.32",12
3,12,"Green","Coming Soon","101.49",13
7,9,"Black","Coming Soon","106.39",14
8,12,"Red","Coming Soon","124.77",15
5,8,"Black","Coming Soon","86.19",16
8,12,"Blue","Coming Soon","196.86",17
8,8,"Blue","Coming Soon","123.27",18
7,11,"Red","Coming Soon","130.76",19
9,12,"Black","Coming Soon","152.98",20
11,8,"Blue","Coming Soon","175.58",21
7,11,"Light Brown","Coming Soon","146.83",22
4,8,"Green","Coming Soon","159.82",23
12,8,"Light Brown","Coming Soon","171.92",24
1,12,"Light Brown","Coming Soon","128.77",25
2,10,"Gray","Coming Soon","102.45",26
10,8,"Green","Coming Soon","186.86",27
1,8,"Blue","Coming Soon","139.73",28
9,8,"Light Brown","Coming Soon","151.57",29
2,10,"Green","Coming Soon","177.16",30
3,9,"Gray","Coming Soon","124.87",31
8,8,"Black","Coming Soon","129.40",32
5,9,"Black","Coming Soon","107.55",33
5,8,"Light Brown","Coming Soon","103.71",34
11,10,"Green","Coming Soon","152.31",35
6,12,"Red","Coming Soon","108.96",36
7,12,"Blue","Coming Soon","173.14",37
3,10,"Green","Coming Soon","198.44",38
1,9,"Light Brown","Coming Soon","119.61",39
1,10,"Black","Coming Soon","114.36",40
7,9,"Light Brown","Coming Soon","181.93",41
5,10,"Black","Coming Soon","108.32",42
1,12,"Black","Coming Soon","153.97",43
2,12,"Gray","Coming Soon","184.27",44
2,9,"Blue","Coming Soon","151.63",45
6,8,"Brown","Coming Soon","159.39",46
11,9,"Red","Coming Soon","150.49",47
9,10,"Gray","Coming Soon","139.26",48
4,8,"Gray","Coming Soon","166.87",49
12,9,"Red","Coming Soon","110.77",50
